1.000000 0.000000 
0.990000 0.005313 
0.980000 0.010086 
0.970000 0.014378 
0.960000 0.018245 
0.950000 0.021737 
0.940000 0.024899 
0.930000 0.027772 
0.920000 0.030393 
0.910000 0.032795 
0.900000 0.035007 
0.890000 0.037055 
0.880000 0.038962 
0.870000 0.040749 
0.860000 0.042432 
0.850000 0.044026 
0.840000 0.045544 
0.830000 0.046997 
0.820000 0.048393 
0.810000 0.049741 
0.800000 0.051044 
0.790000 0.052309 
0.780000 0.053538 
0.770000 0.054733 
0.760000 0.055896 
0.750000 0.057027 
0.740000 0.058127 
0.730000 0.059194 
0.720000 0.060228 
0.710000 0.061228 
0.700000 0.062191 
0.690000 0.063117 
0.680000 0.064003 
0.670000 0.064849 
0.660000 0.065651 
0.650000 0.066409 
0.640000 0.067121 
0.630000 0.067786 
0.620000 0.068403 
0.610000 0.068971 
0.600000 0.069491 
0.590000 0.069961 
0.580000 0.070383 
0.570000 0.070756 
0.560000 0.071082 
0.550000 0.071362 
0.540000 0.071596 
0.530000 0.071788 
0.520000 0.071940 
0.510000 0.072052 
0.500000 0.072129 
0.490000 0.072173 
0.480000 0.072187 
0.470000 0.072173 
0.460000 0.072136 
0.450000 0.072078 
0.440000 0.072003 
0.430000 0.071914 
0.420000 0.071813 
0.410000 0.071704 
0.400000 0.071590 
0.390000 0.071472 
0.380000 0.071353 
0.370000 0.071235 
0.360000 0.071120 
0.350000 0.071007 
0.340000 0.070897 
0.330000 0.070790 
0.320000 0.070685 
0.310000 0.070580 
0.300000 0.070473 
0.290000 0.070360 
0.280000 0.070238 
0.270000 0.070101 
0.260000 0.069943 
0.250000 0.069757 
0.240000 0.069537 
0.230000 0.069271 
0.220000 0.068951 
0.210000 0.068566 
0.200000 0.068102 
0.190000 0.067547 
0.180000 0.066887 
0.170000 0.066107 
0.160000 0.065188 
0.150000 0.064115 
0.140000 0.062869 
0.130000 0.061429 
0.120000 0.059775 
0.110000 0.057885 
0.100000 0.055734 
0.090000 0.053298 
0.080000 0.050548 
0.070000 0.047450 
0.060000 0.043966 
0.050000 0.040044 
0.040000 0.035608 
0.030000 0.030534 
0.020000 0.024569 
0.010000 0.017027 
0.000000 0.000000 
0.000000 0.000000 
0.010000 -0.027152 
0.020000 -0.037484 
0.030000 -0.044790 
0.040000 -0.050438 
0.050000 -0.054979 
0.060000 -0.058709 
0.070000 -0.061814 
0.080000 -0.064421 
0.090000 -0.066626 
0.100000 -0.068503 
0.110000 -0.070109 
0.120000 -0.071493 
0.130000 -0.072696 
0.140000 -0.073753 
0.150000 -0.074691 
0.160000 -0.075536 
0.170000 -0.076309 
0.180000 -0.077027 
0.190000 -0.077706 
0.200000 -0.078358 
0.210000 -0.078993 
0.220000 -0.079618 
0.230000 -0.080240 
0.240000 -0.080863 
0.250000 -0.081489 
0.260000 -0.082119 
0.270000 -0.082753 
0.280000 -0.083389 
0.290000 -0.084024 
0.300000 -0.084655 
0.310000 -0.085275 
0.320000 -0.085881 
0.330000 -0.086465 
0.340000 -0.087020 
0.350000 -0.087540 
0.360000 -0.088015 
0.370000 -0.088438 
0.380000 -0.088801 
0.390000 -0.089094 
0.400000 -0.089310 
0.410000 -0.089440 
0.420000 -0.089475 
0.430000 -0.089407 
0.440000 -0.089229 
0.450000 -0.088933 
0.460000 -0.088511 
0.470000 -0.087958 
0.480000 -0.087267 
0.490000 -0.086434 
0.500000 -0.085453 
0.510000 -0.084322 
0.520000 -0.083036 
0.530000 -0.081595 
0.540000 -0.079996 
0.550000 -0.078240 
0.560000 -0.076328 
0.570000 -0.074261 
0.580000 -0.072042 
0.590000 -0.069676 
0.600000 -0.067166 
0.610000 -0.064520 
0.620000 -0.061744 
0.630000 -0.058847 
0.640000 -0.055838 
0.650000 -0.052726 
0.660000 -0.049525 
0.670000 -0.046245 
0.680000 -0.042900 
0.690000 -0.039504 
0.700000 -0.036073 
0.710000 -0.032622 
0.720000 -0.029168 
0.730000 -0.025728 
0.740000 -0.022320 
0.750000 -0.018963 
0.760000 -0.015674 
0.770000 -0.012473 
0.780000 -0.009379 
0.790000 -0.006412 
0.800000 -0.003591 
0.810000 -0.000935 
0.820000 0.001538 
0.830000 0.003809 
0.840000 0.005861 
0.850000 0.007676 
0.860000 0.009240 
0.870000 0.010537 
0.880000 0.011555 
0.890000 0.012281 
0.900000 0.012706 
0.910000 0.012822 
0.920000 0.012624 
0.930000 0.012108 
0.940000 0.011274 
0.950000 0.010125 
0.960000 0.008668 
0.970000 0.006911 
0.980000 0.004868 
0.990000 0.002557 
1.000000 0.000000 
