1.000000 0.000000 
0.990000 0.005211 
0.980000 0.009895 
0.970000 0.014114 
0.960000 0.017926 
0.950000 0.021381 
0.940000 0.024525 
0.930000 0.027401 
0.920000 0.030045 
0.910000 0.032490 
0.900000 0.034765 
0.890000 0.036896 
0.880000 0.038906 
0.870000 0.040814 
0.860000 0.042635 
0.850000 0.044385 
0.840000 0.046075 
0.830000 0.047714 
0.820000 0.049310 
0.810000 0.050868 
0.800000 0.052395 
0.790000 0.053891 
0.780000 0.055359 
0.770000 0.056801 
0.760000 0.058215 
0.750000 0.059601 
0.740000 0.060958 
0.730000 0.062284 
0.720000 0.063576 
0.710000 0.064831 
0.700000 0.066048 
0.690000 0.067222 
0.680000 0.068352 
0.670000 0.069434 
0.660000 0.070465 
0.650000 0.071444 
0.640000 0.072368 
0.630000 0.073234 
0.620000 0.074042 
0.610000 0.074790 
0.600000 0.075476 
0.590000 0.076101 
0.580000 0.076665 
0.570000 0.077166 
0.560000 0.077607 
0.550000 0.077988 
0.540000 0.078310 
0.530000 0.078576 
0.520000 0.078788 
0.510000 0.078947 
0.500000 0.079058 
0.490000 0.079122 
0.480000 0.079144 
0.470000 0.079127 
0.460000 0.079074 
0.450000 0.078989 
0.440000 0.078877 
0.430000 0.078740 
0.420000 0.078582 
0.410000 0.078407 
0.400000 0.078219 
0.390000 0.078020 
0.380000 0.077814 
0.370000 0.077602 
0.360000 0.077387 
0.350000 0.077170 
0.340000 0.076953 
0.330000 0.076736 
0.320000 0.076517 
0.310000 0.076297 
0.300000 0.076073 
0.290000 0.075843 
0.280000 0.075602 
0.270000 0.075347 
0.260000 0.075071 
0.250000 0.074769 
0.240000 0.074431 
0.230000 0.074050 
0.220000 0.073614 
0.210000 0.073114 
0.200000 0.072537 
0.190000 0.071869 
0.180000 0.071095 
0.170000 0.070200 
0.160000 0.069166 
0.150000 0.067975 
0.140000 0.066607 
0.130000 0.065043 
0.120000 0.063259 
0.110000 0.061233 
0.100000 0.058939 
0.090000 0.056349 
0.080000 0.053433 
0.070000 0.050156 
0.060000 0.046476 
0.050000 0.042337 
0.040000 0.037657 
0.030000 0.032303 
0.020000 0.026006 
0.010000 0.018036 
0.000000 0.000000 
0.000000 0.000000 
0.010000 -0.030116 
0.020000 -0.041547 
0.030000 -0.049610 
0.040000 -0.055825 
0.050000 -0.060803 
0.060000 -0.064873 
0.070000 -0.068242 
0.080000 -0.071050 
0.090000 -0.073403 
0.100000 -0.075382 
0.110000 -0.077053 
0.120000 -0.078467 
0.130000 -0.079671 
0.140000 -0.080701 
0.150000 -0.081589 
0.160000 -0.082364 
0.170000 -0.083049 
0.180000 -0.083664 
0.190000 -0.084225 
0.200000 -0.084747 
0.210000 -0.085242 
0.220000 -0.085718 
0.230000 -0.086184 
0.240000 -0.086644 
0.250000 -0.087102 
0.260000 -0.087561 
0.270000 -0.088020 
0.280000 -0.088480 
0.290000 -0.088937 
0.300000 -0.089389 
0.310000 -0.089832 
0.320000 -0.090261 
0.330000 -0.090670 
0.340000 -0.091053 
0.350000 -0.091402 
0.360000 -0.091710 
0.370000 -0.091970 
0.380000 -0.092173 
0.390000 -0.092312 
0.400000 -0.092377 
0.410000 -0.092361 
0.420000 -0.092255 
0.430000 -0.092051 
0.440000 -0.091742 
0.450000 -0.091321 
0.460000 -0.090779 
0.470000 -0.090111 
0.480000 -0.089312 
0.490000 -0.088375 
0.500000 -0.087296 
0.510000 -0.086071 
0.520000 -0.084698 
0.530000 -0.083173 
0.540000 -0.081496 
0.550000 -0.079667 
0.560000 -0.077686 
0.570000 -0.075555 
0.580000 -0.073276 
0.590000 -0.070853 
0.600000 -0.068291 
0.610000 -0.065596 
0.620000 -0.062774 
0.630000 -0.059834 
0.640000 -0.056784 
0.650000 -0.053636 
0.660000 -0.050398 
0.670000 -0.047085 
0.680000 -0.043709 
0.690000 -0.040283 
0.700000 -0.036823 
0.710000 -0.033345 
0.720000 -0.029863 
0.730000 -0.026397 
0.740000 -0.022963 
0.750000 -0.019579 
0.760000 -0.016265 
0.770000 -0.013038 
0.780000 -0.009918 
0.790000 -0.006925 
0.800000 -0.004077 
0.810000 -0.001393 
0.820000 0.001108 
0.830000 0.003408 
0.840000 0.005488 
0.850000 0.007333 
0.860000 0.008927 
0.870000 0.010254 
0.880000 0.011302 
0.890000 0.012058 
0.900000 0.012513 
0.910000 0.012658 
0.920000 0.012488 
0.930000 0.011999 
0.940000 0.011190 
0.950000 0.010064 
0.960000 0.008627 
0.970000 0.006887 
0.980000 0.004857 
0.990000 0.002554 
1.000000 0.000000 
