1.000000 0.000000 
0.990000 0.004010 
0.980000 0.007605 
0.970000 0.010826 
0.960000 0.013711 
0.950000 0.016295 
0.940000 0.018611 
0.930000 0.020687 
0.920000 0.022550 
0.910000 0.024224 
0.900000 0.025730 
0.890000 0.027089 
0.880000 0.028318 
0.870000 0.029432 
0.860000 0.030446 
0.850000 0.031371 
0.840000 0.032218 
0.830000 0.032997 
0.820000 0.033716 
0.810000 0.034381 
0.800000 0.035000 
0.790000 0.035576 
0.780000 0.036115 
0.770000 0.036619 
0.760000 0.037091 
0.750000 0.037534 
0.740000 0.037949 
0.730000 0.038338 
0.720000 0.038701 
0.710000 0.039039 
0.700000 0.039352 
0.690000 0.039641 
0.680000 0.039906 
0.670000 0.040145 
0.660000 0.040360 
0.650000 0.040550 
0.640000 0.040715 
0.630000 0.040855 
0.620000 0.040969 
0.610000 0.041058 
0.600000 0.041121 
0.590000 0.041160 
0.580000 0.041175 
0.570000 0.041165 
0.560000 0.041132 
0.550000 0.041077 
0.540000 0.041000 
0.530000 0.040903 
0.520000 0.040787 
0.510000 0.040654 
0.500000 0.040504 
0.490000 0.040340 
0.480000 0.040163 
0.470000 0.039976 
0.460000 0.039779 
0.450000 0.039575 
0.440000 0.039367 
0.430000 0.039155 
0.420000 0.038941 
0.410000 0.038728 
0.400000 0.038518 
0.390000 0.038310 
0.380000 0.038108 
0.370000 0.037913 
0.360000 0.037725 
0.350000 0.037545 
0.340000 0.037373 
0.330000 0.037210 
0.320000 0.037056 
0.310000 0.036910 
0.300000 0.036771 
0.290000 0.036637 
0.280000 0.036508 
0.270000 0.036380 
0.260000 0.036250 
0.250000 0.036115 
0.240000 0.035972 
0.230000 0.035815 
0.220000 0.035639 
0.210000 0.035439 
0.200000 0.035208 
0.190000 0.034939 
0.180000 0.034624 
0.170000 0.034256 
0.160000 0.033825 
0.150000 0.033321 
0.140000 0.032733 
0.130000 0.032052 
0.120000 0.031264 
0.110000 0.030357 
0.100000 0.029317 
0.090000 0.028129 
0.080000 0.026775 
0.070000 0.025236 
0.060000 0.023487 
0.050000 0.021497 
0.040000 0.019220 
0.030000 0.016581 
0.020000 0.013433 
0.010000 0.009381 
0.000000 0.000000 
0.000000 0.000000 
0.010000 -0.013865 
0.020000 -0.019125 
0.030000 -0.022835 
0.040000 -0.025696 
0.050000 -0.027991 
0.060000 -0.029870 
0.070000 -0.031428 
0.080000 -0.032732 
0.090000 -0.033829 
0.100000 -0.034758 
0.110000 -0.035547 
0.120000 -0.036221 
0.130000 -0.036800 
0.140000 -0.037302 
0.150000 -0.037742 
0.160000 -0.038130 
0.170000 -0.038480 
0.180000 -0.038798 
0.190000 -0.039092 
0.200000 -0.039370 
0.210000 -0.039634 
0.220000 -0.039891 
0.230000 -0.040142 
0.240000 -0.040389 
0.250000 -0.040635 
0.260000 -0.040878 
0.270000 -0.041120 
0.280000 -0.041360 
0.290000 -0.041596 
0.300000 -0.041826 
0.310000 -0.042048 
0.320000 -0.042259 
0.330000 -0.042456 
0.340000 -0.042637 
0.350000 -0.042797 
0.360000 -0.042933 
0.370000 -0.043040 
0.380000 -0.043115 
0.390000 -0.043154 
0.400000 -0.043152 
0.410000 -0.043106 
0.420000 -0.043011 
0.430000 -0.042864 
0.440000 -0.042661 
0.450000 -0.042398 
0.460000 -0.042073 
0.470000 -0.041681 
0.480000 -0.041221 
0.490000 -0.040690 
0.500000 -0.040086 
0.510000 -0.039408 
0.520000 -0.038653 
0.530000 -0.037822 
0.540000 -0.036913 
0.550000 -0.035927 
0.560000 -0.034865 
0.570000 -0.033728 
0.580000 -0.032517 
0.590000 -0.031235 
0.600000 -0.029883 
0.610000 -0.028466 
0.620000 -0.026987 
0.630000 -0.025451 
0.640000 -0.023862 
0.650000 -0.022226 
0.660000 -0.020549 
0.670000 -0.018837 
0.680000 -0.017097 
0.690000 -0.015336 
0.700000 -0.013562 
0.710000 -0.011785 
0.720000 -0.010011 
0.730000 -0.008251 
0.740000 -0.006513 
0.750000 -0.004808 
0.760000 -0.003145 
0.770000 -0.001534 
0.780000 0.000014 
0.790000 0.001489 
0.800000 0.002880 
0.810000 0.004178 
0.820000 0.005372 
0.830000 0.006451 
0.840000 0.007407 
0.850000 0.008228 
0.860000 0.008907 
0.870000 0.009434 
0.880000 0.009802 
0.890000 0.010002 
0.900000 0.010027 
0.910000 0.009873 
0.920000 0.009535 
0.930000 0.009007 
0.940000 0.008289 
0.950000 0.007378 
0.960000 0.006274 
0.970000 0.004980 
0.980000 0.003500 
0.990000 0.001837 
1.000000 0.000000 
